date,sim_trades,sim_gross_pnl,sim_net_pnl,real_trades,real_gross_pnl,real_net_pnl,sim_contracts,real_contracts,notes
2026-01-23,20,-17.5,-40.1,16,35.0,16.92,0.0,0.0,
2026-01-26,18,-192.5,-212.84,18,185.0,164.66,0.0,0.0,
2026-01-27,18,155.0,134.66,20,345.0,322.4,0.0,0.0,
2026-01-28,16,260.0,241.92,0,0.0,0.0,0.0,0.0,
2026-01-29,54,-242.5,-301.26,50,-630.0,-686.5,0.0,0.0,
2026-01-30,32,-505.0,-541.16,30,-475.0,-508.9,0.0,0.0,
2026-02-02,38,62.5,21.82,34,-230.0,-270.68,0.0,0.0,
2026-02-03,34,-905.0,-941.16,30,-550.0,-586.16,0.0,0.0,
2026-02-04,46,-455.0,-504.72,42,-870.0,-917.46,0.0,0.0,
2026-02-05,24,687.5,660.38,18,300.0,279.66,0.0,0.0,
2026-02-06,32,577.5,541.34,42,135.0,85.28,0.0,0.0,
2026-02-09,42,122.5,75.04,38,155.0,112.06,0.0,0.0,
2026-02-10,18,372.5,352.16,18,445.0,422.4,0.0,0.0,
2026-02-11,30,322.5,288.6,30,310.0,276.1,0.0,0.0,
2026-02-12,40,375.0,329.8,38,190.0,142.54,0.0,0.0,
2026-02-13,28,195.0,163.36,26,530.0,498.36,0.0,0.0,
2026-02-17,4,47.5,44.24,0,0.0,0.0,0.0,0.0,
2026-02-18,3,52.5,50.06,0,0.0,0.0,0.0,0.0,
2026-02-19,3,72.5,70.06,0,0.0,0.0,0.0,0.0,
2026-02-20,4,82.5,79.24,0,0.0,0.0,0.0,0.0,
2026-02-23,4,82.5,79.24,0,0.0,0.0,0.0,0.0,
2026-02-24,32,80.0,43.84,30,200.0,166.1,0.0,0.0,
2026-02-25,32,265.0,228.84,30,330.0,296.1,0.0,0.0,
2026-02-26,46,130.0,78.02,46,50.0,-1.98,0.0,0.0,
2026-02-27,22,185.0,160.14,20,430.0,407.4,0.0,0.0,
2026-03-02,22,467.5,442.64,28,257.5,222.47,0.0,0.0,
2026-03-03,40,32.5,-12.7,38,20.0,-22.94,0.0,0.0,
2026-03-04,28,327.5,295.86,22,375.0,350.14,0.0,0.0,
2026-03-05,42,-95.0,-142.46,0,0.0,0.0,0.0,0.0,
2026-03-06,20,652.5,629.9,0,0.0,0.0,0.0,0.0,
2026-03-09,32,-105.0,-141.16,0,0.0,0.0,0.0,0.0,scaled up from 2 to 3 unites
2026-03-10,40,-470.0,-515.2,30,-100.0,-136.16,0.0,0.0,
2026-03-11,30,-165.0,-198.9,38,-110.0,-152.94,0.0,0.0,
2026-03-12,14,675.0,659.18,24,275.0,247.88,0.0,0.0,
2026-03-13,26,867.5,838.12,24,885.0,855.62,0.0,0.0,
2026-03-16,32,650.0,613.84,32,65.0,28.84,0.0,0.0,
2026-03-17,30,975.0,941.1,28,895.0,863.36,0.0,0.0,
2026-03-18,22,702.5,677.64,16,665.0,642.4,0.0,0.0,
2026-03-19,20,40.0,17.4,38,-385.0,-432.46,0.0,0.0,
2026-03-20,2,22.5,15.72,2,25.0,18.22,6.0,6.0,
2026-03-23,16,335.0,287.54,17,690.0,642.54,42.0,42.0,
2026-03-24,36,462.5,421.82,34,320.0,279.32,0.0,0.0,
2026-03-25,46,130.0,78.02,46,230.0,178.02,0.0,0.0,
2026-03-26,12,257.5,214.56,13,-365.0,-405.68,38.0,36.0,
2026-03-27,12,260.0,226.1,12,80.0,39.32,30.0,36.0,
2026-03-30,12,552.5,518.6,16,410.0,369.32,30.0,36.0,
2026-03-31,24,-1395.0,-1460.54,16,-2462.5,-2515.61,62.0,47.0,standalone to GCP VM
2026-04-01,12,360.0,323.84,15,-665.0,-710.2,32.0,40.0,
2026-04-02,11,1577.5,1541.34,19,985.0,919.46,32.0,58.0,
2026-04-06,8,622.5,597.64,13,510.0,471.58,22.0,34.0,
2026-04-07,17,-897.5,-944.96,15,-340.0,-385.2,44.0,40.0,
2026-04-09,22,-227.5,-288.52,12,75.0,25.28,54.0,44.0,
2026-04-10,10,370.0,340.62,7,390.0,365.14,26.0,22.0,
2026-04-13,16,2.5,-40.44,14,150.0,109.32,38.0,36.0,
2026-04-14,25,-17.5,-87.56,18,-60.0,-132.32,62.0,64.0, scaled up from 3 to 5 units
2026-04-15,26,-122.5,-192.56,15,165.0,97.2,62.0,60.0,
