date,sim_trades,sim_gross_pnl,sim_net_pnl,real_trades,real_gross_pnl,real_net_pnl,sim_contracts,real_contracts,notes
2026-02-17,4,47.5,44.24,0,0.0,0.0,0.0,0.0,
2026-02-18,3,52.5,50.06,0,0.0,0.0,0.0,0.0,
2026-02-19,3,72.5,70.06,0,0.0,0.0,0.0,0.0,
2026-02-20,4,82.5,79.24,0,0.0,0.0,0.0,0.0,
2026-02-23,4,82.5,79.24,0,0.0,0.0,0.0,0.0,
2026-02-24,32,80.0,43.84,30,200.0,166.1,0.0,0.0,
2026-02-25,32,265.0,228.84,30,330.0,296.1,0.0,0.0,
2026-02-26,46,130.0,78.02,46,50.0,-1.98,0.0,0.0,
2026-02-27,22,185.0,160.14,20,430.0,407.4,0.0,0.0,
2026-03-02,22,467.5,442.64,28,257.5,222.47,0.0,0.0,
2026-03-03,40,32.5,-12.7,38,20.0,-22.94,0.0,0.0,
2026-03-04,28,327.5,295.86,22,375.0,350.14,0.0,0.0,
2026-03-05,42,-95.0,-142.46,0,0.0,0.0,0.0,0.0,
2026-03-06,20,652.5,629.9,0,0.0,0.0,0.0,0.0,
2026-03-09,32,-105.0,-141.16,0,0.0,0.0,0.0,0.0,
2026-03-10,40,-470.0,-515.2,30,-100.0,-136.16,0.0,0.0,
2026-03-11,30,-165.0,-198.9,38,-110.0,-152.94,0.0,0.0,
2026-03-12,14,675.0,659.18,24,275.0,247.88,0.0,0.0,
2026-03-13,26,867.5,838.12,24,885.0,855.62,0.0,0.0,
2026-03-16,32,650.0,613.84,32,65.0,28.84,0.0,0.0,
2026-03-17,30,975.0,941.1,28,895.0,863.36,0.0,0.0,
2026-03-18,22,702.5,677.64,16,665.0,642.4,0.0,0.0,
2026-03-19,20,40.0,17.4,38,-385.0,-432.46,0.0,0.0,
2026-03-20,2,22.5,15.72,2,25.0,18.22,6.0,6.0,
2026-03-23,16,335.0,287.54,17,690.0,642.54,42.0,42.0,
2026-03-24,36,462.5,421.82,34,320.0,279.32,0.0,0.0,
2026-03-25,46,130.0,78.02,46,230.0,178.02,0.0,0.0,
2026-03-26,12,257.5,214.56,13,-365.0,-405.68,38.0,36.0,
2026-03-27,12,260.0,226.1,12,80.0,39.32,30.0,36.0,
2026-03-30,12,552.5,518.6,16,410.0,369.32,30.0,36.0,
2026-03-31,24,-1395.0,-1460.54,16,-2462.5,-2515.61,62.0,47.0,
2026-04-01,12,360.0,323.84,15,-665.0,-710.2,32.0,40.0,
2026-04-02,11,1577.5,1541.34,19,985.0,919.46,32.0,58.0,
2026-04-06,8,622.5,597.64,13,510.0,471.58,22.0,34.0,
