date,sim_trades,sim_gross_pnl,sim_net_pnl,real_trades,real_gross_pnl,real_net_pnl,sim_contracts,real_contracts
2026-01-23,20,-17.5,-40.1,16,35.0,16.92,0.0,0.0
2026-01-26,18,-192.5,-212.84,18,185.0,164.66,0.0,0.0
2026-01-27,18,155.0,134.66,20,345.0,322.4,0.0,0.0
2026-01-28,16,260.0,241.92,0,0.0,0.0,0.0,0.0
2026-01-29,54,-242.5,-301.26,50,-630.0,-686.5,0.0,0.0
2026-01-30,32,-505.0,-541.16,30,-475.0,-508.9,0.0,0.0
2026-02-02,38,62.5,21.82,34,-230.0,-270.68,0.0,0.0
2026-02-03,34,-905.0,-941.16,30,-550.0,-586.16,0.0,0.0
2026-02-04,46,-455.0,-504.72,42,-870.0,-917.46,0.0,0.0
2026-02-05,24,687.5,660.38,18,300.0,279.66,0.0,0.0
2026-02-06,32,577.5,541.34,42,135.0,85.28,0.0,0.0
2026-02-09,42,122.5,75.04,38,155.0,112.06,0.0,0.0
2026-02-10,18,372.5,352.16,18,445.0,422.4,0.0,0.0
2026-02-11,30,322.5,288.6,30,310.0,276.1,0.0,0.0
2026-02-12,40,375.0,329.8,38,190.0,142.54,0.0,0.0
2026-02-13,28,195.0,163.36,26,530.0,498.36,0.0,0.0
2026-02-17,52,-855.0,-913.76,52,-795.0,-853.76,0.0,0.0
2026-02-18,26,120.0,90.62,26,215.0,185.62,0.0,0.0
2026-02-19,24,612.5,585.38,24,645.0,617.88,0.0,0.0
2026-02-20,48,-2385.0,-2439.24,68,-1525.0,-1601.84,0.0,0.0
2026-02-23,28,705.0,673.36,24,555.0,527.88,0.0,0.0
2026-02-24,32,80.0,43.84,30,200.0,166.1,0.0,0.0
2026-02-25,32,265.0,228.84,30,330.0,296.1,0.0,0.0
2026-02-26,46,130.0,78.02,46,50.0,-1.98,0.0,0.0
2026-02-27,22,185.0,160.14,20,430.0,407.4,0.0,0.0
2026-03-02,22,467.5,442.64,28,257.5,222.47,0.0,0.0
2026-03-03,40,32.5,-12.7,38,20.0,-22.94,0.0,0.0
2026-03-04,28,327.5,295.86,22,375.0,350.14,0.0,0.0
2026-03-05,42,-95.0,-142.46,0,0.0,0.0,0.0,0.0
2026-03-06,20,652.5,629.9,0,0.0,0.0,0.0,0.0
2026-03-09,32,-105.0,-141.16,0,0.0,0.0,0.0,0.0
2026-03-10,40,-470.0,-515.2,30,-100.0,-136.16,0.0,0.0
2026-03-11,30,-165.0,-198.9,38,-110.0,-152.94,0.0,0.0
2026-03-12,14,675.0,659.18,24,275.0,247.88,0.0,0.0
2026-03-13,26,867.5,838.12,24,885.0,855.62,0.0,0.0
2026-03-16,32,650.0,613.84,32,65.0,28.84,0.0,0.0
2026-03-17,30,975.0,941.1,28,895.0,863.36,0.0,0.0
2026-03-18,22,702.5,677.64,16,665.0,642.4,0.0,0.0
2026-03-19,20,40.0,17.4,38,-385.0,-432.46,0.0,0.0
2026-03-20,2,127.5,120.72,2,122.5,115.72,6.0,6.0
