strat_0835 | 2026-06-18T08:35:37 | IRON_CONDOR     | credit=  862.50 | comm=4.52
strat_0835 | 2026-06-18T08:40:39 | REBALANCE_SHORT | credit= -365.00 | comm=2.26
strat_0835 | 2026-06-18T09:24:26 | REBALANCE_SHORT | credit=  215.00 | comm=4.52
strat_0835 | 2026-06-18T09:29:28 | REBALANCE_SHORT | credit= -215.00 | comm=2.26
strat_0835 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  137.50 | comm=4.52
strat_0835 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0835 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0835 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0840 | 2026-06-18T08:40:39 | IRON_CONDOR     | credit=  880.00 | comm=4.52
strat_0840 | 2026-06-18T09:18:21 | REBALANCE_SHORT | credit= -210.00 | comm=2.26
strat_0840 | 2026-06-18T09:24:26 | REBALANCE_SHORT | credit=  190.00 | comm=4.52
strat_0840 | 2026-06-18T09:29:28 | REBALANCE_SHORT | credit= -215.00 | comm=2.26
strat_0840 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0840 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0840 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0840 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0845 | 2026-06-18T08:45:49 | IRON_CONDOR     | credit=  870.00 | comm=4.52
strat_0845 | 2026-06-18T09:18:21 | REBALANCE_SHORT | credit= -210.00 | comm=2.26
strat_0845 | 2026-06-18T09:48:28 | REBALANCE_SHORT | credit=  170.00 | comm=4.52
strat_0845 | 2026-06-18T10:25:32 | REBALANCE_SHORT | credit= -165.00 | comm=2.26
strat_0845 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0845 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0845 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0845 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0850 | 2026-06-18T08:50:51 | IRON_CONDOR     | credit=  782.50 | comm=4.52
strat_0850 | 2026-06-18T09:24:26 | REBALANCE_SHORT | credit= -215.00 | comm=2.26
strat_0850 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit=  135.00 | comm=4.52
strat_0850 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0850 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0855 | 2026-06-18T08:55:53 | IRON_CONDOR     | credit=  785.00 | comm=4.52
strat_0855 | 2026-06-18T09:18:21 | REBALANCE_SHORT | credit= -210.00 | comm=2.26
strat_0855 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0855 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0855 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0855 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0900 | 2026-06-18T09:00:55 | IRON_CONDOR     | credit=  790.00 | comm=4.52
strat_0900 | 2026-06-18T09:18:21 | REBALANCE_SHORT | credit= -210.00 | comm=2.26
strat_0900 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0900 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0900 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0900 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0905 | 2026-06-18T09:10:23 | IRON_CONDOR     | credit=  710.00 | comm=4.52
strat_0905 | 2026-06-18T09:24:26 | REBALANCE_SHORT | credit= -215.00 | comm=2.26
strat_0905 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit=  135.00 | comm=4.52
strat_0905 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0905 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0910 | 2026-06-18T09:10:23 | IRON_CONDOR     | credit=  710.00 | comm=4.52
strat_0910 | 2026-06-18T09:24:26 | REBALANCE_SHORT | credit= -215.00 | comm=2.26
strat_0910 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit=  135.00 | comm=4.52
strat_0910 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0910 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0915 | 2026-06-18T09:16:20 | IRON_CONDOR     | credit=  675.00 | comm=4.52
strat_0915 | 2026-06-18T09:18:21 | REBALANCE_SHORT | credit= -210.00 | comm=2.26
strat_0915 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0915 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0915 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0915 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0920 | 2026-06-18T09:20:23 | IRON_CONDOR     | credit=  660.00 | comm=4.52
strat_0920 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  137.50 | comm=4.52
strat_0920 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0920 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0920 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0925 | 2026-06-18T09:25:26 | IRON_CONDOR     | credit=  620.00 | comm=4.52
strat_0925 | 2026-06-18T09:31:05 | REBALANCE_SHORT | credit= -225.00 | comm=2.26
strat_0925 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0925 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0925 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0925 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0930 | 2026-06-18T09:31:05 | IRON_CONDOR     | credit=  655.00 | comm=4.52
strat_0930 | 2026-06-18T09:38:23 | REBALANCE_SHORT | credit= -202.50 | comm=2.26
strat_0930 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0930 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0930 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0930 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0935 | 2026-06-18T09:35:05 | IRON_CONDOR     | credit=  617.50 | comm=4.52
strat_0935 | 2026-06-18T09:48:28 | REBALANCE_SHORT | credit= -212.50 | comm=2.26
strat_0935 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit=  135.00 | comm=4.52
strat_0935 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0935 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0940 | 2026-06-18T09:40:24 | IRON_CONDOR     | credit=  592.50 | comm=4.52
strat_0940 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit= -172.50 | comm=2.26
strat_0940 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0940 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0940 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0940 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0945 | 2026-06-18T09:45:26 | IRON_CONDOR     | credit=  510.00 | comm=4.52
strat_0945 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit= -197.50 | comm=2.26
strat_0945 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0945 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0945 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0945 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0950 | 2026-06-18T09:50:29 | IRON_CONDOR     | credit=  495.00 | comm=4.52
strat_0950 | 2026-06-18T10:25:32 | REBALANCE_SHORT | credit= -165.00 | comm=2.26
strat_0950 | 2026-06-18T10:36:37 | REBALANCE_SHORT | credit=  135.00 | comm=4.52
strat_0950 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0950 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_0955 | 2026-06-18T09:55:31 | IRON_CONDOR     | credit=  547.50 | comm=4.52
strat_0955 | 2026-06-18T10:25:32 | REBALANCE_SHORT | credit= -165.00 | comm=2.26
strat_0955 | 2026-06-18T10:47:20 | REBALANCE_SHORT | credit=  142.50 | comm=4.52
strat_0955 | 2026-06-18T10:50:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0955 | 2026-06-18T10:53:22 | REBALANCE_SHORT | credit=  -95.00 | comm=2.26
strat_0955 | 2026-06-18T11:38:13 | REBALANCE_SHORT | credit= -117.50 | comm=2.26
strat_1000 | 2026-06-18T10:01:17 | IRON_CONDOR     | credit=  450.00 | comm=4.52
