strat_0835 | 2026-06-18T08:35:37 | ENTRY           | credit=  862.50 | comm=4.52
strat_0835 | 2026-06-18T08:40:39 | REBAL           | credit= -365.00 | comm=2.26
strat_0835 | 2026-06-18T09:24:26 | REBAL           | credit=  215.00 | comm=4.52
strat_0835 | 2026-06-18T09:29:28 | REBAL           | credit= -215.00 | comm=2.26
strat_0835 | 2026-06-18T10:47:20 | REBAL           | credit=  137.50 | comm=4.52
strat_0835 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0835 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0835 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0840 | 2026-06-18T08:40:39 | ENTRY           | credit=  880.00 | comm=4.52
strat_0840 | 2026-06-18T09:18:21 | REBAL           | credit= -210.00 | comm=2.26
strat_0840 | 2026-06-18T09:24:26 | REBAL           | credit=  190.00 | comm=4.52
strat_0840 | 2026-06-18T09:29:28 | REBAL           | credit= -215.00 | comm=2.26
strat_0840 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0840 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0840 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0840 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0845 | 2026-06-18T08:45:49 | ENTRY           | credit=  870.00 | comm=4.52
strat_0845 | 2026-06-18T09:18:21 | REBAL           | credit= -210.00 | comm=2.26
strat_0845 | 2026-06-18T09:48:28 | REBAL           | credit=  170.00 | comm=4.52
strat_0845 | 2026-06-18T10:25:32 | REBAL           | credit= -165.00 | comm=2.26
strat_0845 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0845 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0845 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0845 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0850 | 2026-06-18T08:50:51 | ENTRY           | credit=  782.50 | comm=4.52
strat_0850 | 2026-06-18T09:24:26 | REBAL           | credit= -215.00 | comm=2.26
strat_0850 | 2026-06-18T10:36:37 | REBAL           | credit=  135.00 | comm=4.52
strat_0850 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0850 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0855 | 2026-06-18T08:55:53 | ENTRY           | credit=  785.00 | comm=4.52
strat_0855 | 2026-06-18T09:18:21 | REBAL           | credit= -210.00 | comm=2.26
strat_0855 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0855 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0855 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0855 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0900 | 2026-06-18T09:00:55 | ENTRY           | credit=  790.00 | comm=4.52
strat_0900 | 2026-06-18T09:18:21 | REBAL           | credit= -210.00 | comm=2.26
strat_0900 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0900 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0900 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0900 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0905 | 2026-06-18T09:10:23 | ENTRY           | credit=  710.00 | comm=4.52
strat_0905 | 2026-06-18T09:24:26 | REBAL           | credit= -215.00 | comm=2.26
strat_0905 | 2026-06-18T10:36:37 | REBAL           | credit=  135.00 | comm=4.52
strat_0905 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0905 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0910 | 2026-06-18T09:10:23 | ENTRY           | credit=  710.00 | comm=4.52
strat_0910 | 2026-06-18T09:24:26 | REBAL           | credit= -215.00 | comm=2.26
strat_0910 | 2026-06-18T10:36:37 | REBAL           | credit=  135.00 | comm=4.52
strat_0910 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0910 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0915 | 2026-06-18T09:16:20 | ENTRY           | credit=  675.00 | comm=4.52
strat_0915 | 2026-06-18T09:18:21 | REBAL           | credit= -210.00 | comm=2.26
strat_0915 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0915 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0915 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0915 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0920 | 2026-06-18T09:20:23 | ENTRY           | credit=  660.00 | comm=4.52
strat_0920 | 2026-06-18T10:47:20 | REBAL           | credit=  137.50 | comm=4.52
strat_0920 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0920 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0920 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0925 | 2026-06-18T09:25:26 | ENTRY           | credit=  620.00 | comm=4.52
strat_0925 | 2026-06-18T09:31:05 | REBAL           | credit= -225.00 | comm=2.26
strat_0925 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0925 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0925 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0925 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0930 | 2026-06-18T09:31:05 | ENTRY           | credit=  655.00 | comm=4.52
strat_0930 | 2026-06-18T09:38:23 | REBAL           | credit= -202.50 | comm=2.26
strat_0930 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0930 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0930 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0930 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0935 | 2026-06-18T09:35:05 | ENTRY           | credit=  617.50 | comm=4.52
strat_0935 | 2026-06-18T09:48:28 | REBAL           | credit= -212.50 | comm=2.26
strat_0935 | 2026-06-18T10:36:37 | REBAL           | credit=  135.00 | comm=4.52
strat_0935 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0935 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0940 | 2026-06-18T09:40:24 | ENTRY           | credit=  592.50 | comm=4.52
strat_0940 | 2026-06-18T10:36:37 | REBAL           | credit= -172.50 | comm=2.26
strat_0940 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0940 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0940 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0940 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0945 | 2026-06-18T09:45:26 | ENTRY           | credit=  510.00 | comm=4.52
strat_0945 | 2026-06-18T10:47:20 | REBAL           | credit= -197.50 | comm=2.26
strat_0945 | 2026-06-18T10:47:20 | REBAL           | credit=  142.50 | comm=4.52
strat_0945 | 2026-06-18T10:50:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0945 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0945 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0950 | 2026-06-18T09:50:29 | ENTRY           | credit=  495.00 | comm=4.52
strat_0950 | 2026-06-18T10:25:32 | REBAL           | credit= -165.00 | comm=2.26
strat_0950 | 2026-06-18T10:36:37 | REBAL           | credit=  135.00 | comm=4.52
strat_0950 | 2026-06-18T10:53:22 | REBAL           | credit=  -95.00 | comm=2.26
strat_0950 | 2026-06-18T11:38:13 | REBAL           | credit= -117.50 | comm=2.26
strat_0955 | 2026-06-18T09:55:31 | ENTRY           | credit=  547.50 | comm=4.52
